DateID,ProductID,StoreID,CustomerID,QuantityOrderded,OrderAmount,DiscountAmount,Shipping Cost,TotalAmount
20200721,302,98,673,4,968,22.67543288848635,121.77027414379585,823.5542929677179
20190518,811,74,961,17,103,12.539445747735288,15.340576893079241,75.11997735918547
20240521,213,15,409,20,526,34.58218940503751,74.90601830378439,416.5117922911781
20200709,906,58,442,1,588,70.64854721613816,81.3803942782856,435.97105850557625
20220216,919,12,754,9,501,29.933684652154607,67.59248622641867,403.4738291214267
20181224,854,93,804,10,159,13.57528368206468,19.678159571945187,125.74655674599013
20221020,89,66,885,7,686,91.7828030048751,49.811204133501626,544.4059928616233
20180811,629,40,818,11,567,16.936914044189713,80.68433404436097,469.3787519114493
20181105,957,83,261,11,129,11.313676489857418,8.75099890798009,108.9353246021625
20191123,202,16,48,14,491,46.621986469268926,28.63336301507353,415.74465051565755
20171023,698,97,278,16,537,23.121472000077784,31.98000692759053,481.8985210723317
20221011,315,47,415,10,377,26.924247848160128,53.566946634655835,296.50880551718404
20231215,390,75,672,4,494,26.521892134735154,35.34972919262726,432.1283786726376
20171013,513,51,506,11,489,35.524643034285816,72.08510703897879,381.3902499267354
20221108,701,9,573,13,227,6.47006733669721,24.59249790828663,195.93743475501617
20211014,92,14,278,15,578,20.578971696081435,48.33103531109106,509.0899929928275
20200916,762,79,142,8,879,19.019110677808342,62.16321805506943,797.8176712671223
20220625,450,15,319,6,677,80.103097415658,49.502906728376004,547.3939958559661
20190519,191,52,871,8,828,49.31147684563282,54.8617852201764,723.8267379341908
20211124,350,40,419,10,319,39.61905728380225,23.414288923078093,255.96665379311966
20240403,598,44,393,18,875,60.43712260906775,49.05945010539911,765.5034272855331
20210611,97,64,110,17,474,41.752154599851494,30.447924787210482,401.799920612938
20220104,788,15,355,7,574,53.08477681891031,70.8550002496827,450.060222931407
20200321,569,58,877,8,394,53.476418716631684,54.4337126466991,286.0898686366692
20170722,239,75,114,19,340,41.770501803107,42.562493537514946,255.66700465937805
20210910,437,69,745,3,479,18.75470946168346,27.093072633733573,433.152217904583
20210919,254,35,70,20,782,117.0824963747935,102.09430886858384,562.8231947566227
20240202,612,27,888,1,536,60.02293131201497,63.15668485952152,412.8203838284635
20140314,354,52,598,11,797,97.5129812300428,105.19916378026912,594.2878549896881
20211231,358,52,246,8,837,106.0325645395216,91.22120361840142,639.746231842077
20150227,282,18,437,11,528,77.44116420011973,57.290334592867964,393.2685012070123
20221202,83,60,542,1,701,38.800334888391255,95.95478353342642,566.2448815781823
20141127,967,79,839,13,195,27.261203285940095,11.54941534327901,156.1893813707809
20230417,445,35,411,17,405,24.359999879978382,49.12439421935411,331.51560590066754
20230914,92,30,231,3,343,36.24192504807466,36.621005491346565,270.1370694605788
20190324,630,58,739,10,232,25.958871830435086,14.879789455528652,191.16133871403628
20210402,627,92,60,4,797,60.771900839161866,107.61552419037037,628.6125749704678
20140316,151,42,542,13,760,29.24633188148943,51.170870540614835,679.5827975778957
20190811,688,21,454,9,229,31.575235439969404,31.169712512401336,166.25505204762925
20210822,222,74,380,13,813,105.42304633155518,102.19279287258152,605.3841607958633
20230305,129,73,218,3,851,102.32869907171244,72.14929109082144,676.5220098374662
20140115,44,55,963,15,837,41.90593154757681,69.410169257682,725.6838991947412
20151013,27,83,241,6,714,24.237628301239212,86.96302919482413,602.7993425039367
20221220,747,28,684,6,320,18.25717406615429,32.837989889637235,268.9048360442085
20170409,993,68,807,2,788,73.77996209986071,47.76564671991963,666.4543911802197
20210210,234,36,95,18,187,5.940091211169734,24.741046537406067,156.3188622514242
20150920,878,76,162,10,248,18.67004225842117,22.80672000606884,206.52323773551
20231127,450,17,419,12,990,32.22250508419699,76.18056329032761,881.5969316254755
20170329,735,69,732,9,283,40.166107090443255,14.491220557064672,228.34267235249206
20201203,888,46,514,3,172,10.205748542599524,12.930699412115494,148.863552045285
20220617,552,37,524,2,924,29.38488072287558,90.74465643797255,803.8704628391519
20170714,244,71,415,9,329,11.07952355538633,31.61665422333783,286.3038222212758
20190222,71,2,60,4,597,53.71764973376393,60.04545274319405,483.236897523042
20180128,316,96,944,11,426,32.51321597025124,40.356193650734376,353.1305903790144
20240114,773,10,681,15,858,113.87751683587604,110.54238692733577,633.5800962367882
20170428,883,7,347,8,912,133.56220014276644,85.43953200995496,692.9982678472786
20190614,278,82,630,12,857,118.87985636766619,124.70108332925216,613.4190603030817
20200416,648,53,810,11,242,7.5014822822272444,32.42138932982211,202.07712838795064
20220426,576,71,377,13,134,14.53436333924166,13.873912497174127,105.59172416358422
20200418,407,55,867,14,254,15.882212940469678,13.69477705038218,224.42301000914813
20170419,92,49,941,13,122,10.014996323192168,6.317796974182775,105.66720670262507
20180630,777,99,343,4,140,12.118866050975896,12.142815746058762,115.73831820296535
20211024,733,15,654,15,229,23.546727028858648,21.410401336941874,184.04287163419949
20140323,244,24,442,7,576,80.76760820303875,48.651619000308436,446.5807727966528
20141026,104,17,322,15,712,48.07990732914501,99.68449696250262,564.2355957083523
20231126,312,25,279,17,950,77.45991874744162,77.69456323868525,794.8455180138731
20211205,913,75,159,8,436,17.219533189296797,31.30539268920336,387.47507412149986
20160612,965,50,598,3,855,57.86232771766086,54.68204159176006,742.455630690579
20171003,920,85,847,17,952,77.45395616445532,80.769776809822,793.7762670257227
20141217,952,62,889,18,532,68.33573994653891,45.78029051244367,417.88396954101745
20140221,8,59,210,3,121,5.547780849979458,10.918452174872456,104.53376697514808
20160217,533,27,445,3,516,35.529818927082744,37.240911255161336,443.22926981775595
20240302,862,45,381,16,275,39.36533857602677,20.64183559989111,214.9928258240821
20220708,13,61,51,10,118,7.745056085157383,11.775055810118637,98.47988810472398
20200711,792,58,199,18,126,13.328261864334136,7.388621842570961,105.2831162930949
20160520,330,48,191,12,639,60.50956701034258,74.45342535640538,504.0370076332521
20181223,379,82,882,3,101,10.974667622299137,5.137827801391093,84.88750457630977
20150128,2,1,482,1,827,64.90957514756302,76.61761752967503,685.4728073227619
20180301,583,4,946,18,310,34.618410172610076,18.412325342754933,256.969264484635
20210325,612,31,81,1,118,5.410806437319255,9.030180254344812,103.55901330833593
20201107,121,42,481,9,329,27.51044269658023,32.976472686355876,268.5130846170639
20200909,849,41,465,7,958,87.14280409618539,73.51291807071699,797.3442778330976
20200322,148,85,589,17,480,70.71515218311433,26.419076602922214,382.86577121396346
20221011,645,47,801,17,282,39.19515864979253,40.73943200627088,202.06540934393658
20180328,334,78,973,8,658,25.584374144577033,44.92757284416162,587.4880530112614
20201220,493,100,389,1,450,60.86383074935078,43.69820919820195,345.43796005244724
20221208,53,22,978,5,168,12.772881916056186,20.722999740381855,134.50411834356197
20210723,267,73,856,3,329,18.032318398950046,32.683636950227715,278.28404465082224
20210109,858,15,799,8,465,25.19620048101764,53.115947664366956,386.6878518546154
20220728,271,2,163,3,160,20.902426097020403,11.422720468733893,127.6748534342457
20170306,523,35,542,17,125,4.250857281517991,9.330389284156729,111.41875343432528
20150410,330,72,367,18,780,92.81763648921756,81.90026151351371,605.2821019972687
